pdf_file,provisions,statutes,precedents
National_Green_Tribunal_Southern_Zone_vs_The_Secretary_To_Govt_Of_Tamil_Nadu_on_31_January_2022.PDF,"['Article 48 A of Constitution', 'section 133 of Criminal Procedure Code', 'Section 5 of Environment (Protection) Act, 1986', 'Section 5 of Environment Protection Act', 'section 25 of National Green Tribunal Act, 2010', 'section 26 of National Green Tribunal Act, 2010', 'section 5 of Environment (Protection) Act, 1986', 'Rule 12 of Solid Waste Management Rules, 2016', 'Solid 22 of Solid Waste Management Rules, Waste Management Rules, 2016', 'Rule 22 of Solid Waste Management Rules, 2016', 'Rule 22 (Serial No.11) of Waste Management Rule, 2016', 'rules 22 (Serial No. 11) of Solid Waste Management Rules, 2016', 'section 33A of Water (Prevention and Control of Pollution) act 1974', 'Section 33A of Water (Prevention and Control of Pollution) act, 1974']","['Waste Management Rule, 2016', 'NGT Act', 'NGT Act, 2010', 'NGT Act 2010']","[Issued Bhavani B (Erode District) CTE 3 39989 12 118, District Collector Erode District, District Collectorate, National Green Tribunal Southern Zone vs The Secretary To Govt, Tamil Nadu Pollution Control Board, National Green Tribunal Southern Zone vs The Secretary To Govt, Erode City Municipal Corporation limit National Green Tribunal Southern Zone vs The Secretary To Govt, Environmental National Green Tribunal Southern Zone vs The Secretary To Govt, C. PROCESSING OF DRY WASTE National Green Tribunal Southern Zone vs The Secretary To Govt]"
News_Item_Published_In_The_Times_Of_India_vs_Yashyashvi_Rasayan_Pvt_on_31_August_2021.PDF,"[""section 10A(1) of Employee's Compensation Act, 1923"", 'sub rule (1) of Rule 34 of Delhi Fire service Rules, 2010', 'sub rule (9) of Rule 27 of Delhi Fire Service Rule 2010', 'Rule 27 of Delhi Fire Service Rule 2010']","['NGT Act, 2010']","[M.C Mehta v. UoI & Ors.2, Bonani Kakkar vs. Oil India Limited & Ors.), Times Of India ... vs .]"
News_Item_Published_In_The_Tribune_Dated_vs_State_Of_Himachal_Pradesh_on_31_January_2023.PDF,"['Section 15 of NGT Act, 2010']","['NGT Act, 2010']","[Yogendra Mohan Sengupta v. UoI & Ors.1, Ramesh Chand v. State of Himachal Pradesh & Ors]"
Nirmal_Tripathi_vs_The_Sub_Divisional_Magistrate_on_31_May_2023.PDF,"['Rule 14 of National Green Tribunal (Practices and Procedures) Rules, 2011', 'OA 207 of National Green Tribunal (Practices and Procedures) Rules, 2011', 'OA 208/2023 of National Green Tribunal (Practices and Procedures) Rules, 2011']","['NGT Act, 2010']","[Nirmal Tripathi vs The Sub Divisional Magistrate on 31 May, 2023 Indian Kanoon]"
Nizamuddin_West_Association_vs_Union_Of_India_on_22_December_2023.PDF,['Section 26 of NGT Act'],"['NGT Act, 2010']","[Nizamuddin West Association vs Union Of India on 22 December, 2023 Indian Kanoon]"
Prafulla_Samantara_S_O_Late_Dinabandhu_vs_Union_Of_India_Ministry_Of_Environment_on_31_January_2023.PDF,"['Issue No.(IV) of NTPC', 'Section 2.3.1 of EIA', 'Section 2.6.2 of EIA', 'Section 2.6.3 of EIA', 'Section 2.13.2 of ag Act, 1980', 'Section 2.13.3 (page C2-23&24 of ag Act, 1980', 'Section 23&24) of ag Act, 1980', 'Stage-III of NTPC', 'Section 5 of Environmental Impact Assessment of Thermal Power Projects', 'Stage-III (2x660MW) of NTPC', 'Section 4.3.2 of Chapter- 4 of NAAQS', 'Section 2.13.3 of ag Act, 1980', 'Section 3.6 (pages C3-32 to 41) of ag Act, 1980', 'Section 4.3.4 (page C4-19,20 of ag Act, 1980', 'Section 19,20 of ag Act, 1980', 'Section 4.3.5 (page C4-20,21 of ag Act, 1980', 'Section 20,21 of ag Act, 1980', 'Section 3.2.4 of ag Act, 1980', 'Section 4.3.2 of ag Act, 1980', 'Sub-section 2.13.2 of ag Act, 1980', 'Sub-section 2.13.3 of ag Act, 1980', 'Section 7.6.2 of ag Act, 1980', 'Section 8.5.4 of ag Act, 1980', 'Section 8.6.2 of ag Act, 1980', 'Section 8.6.2.1 of NTPC', 'Section 8.6.2.2 of NTPC', 'Section 8.6.2.3 of NTPC', 'Section 8.6.2.4 of NTPC', 'Section 1.5 of EIA', 'Section 1.6 (page C1-6 to C1-7 of EIA', 'Section 7.2 of EIA', 'sub-para (iii) of Para IV Stage (4) of EIA', 'Appendix V of EIA', 'Appendix V para 6 of EIA', 'Section 5.2 of TPP', 'Section 7.5 of Chapter-7 ( of Environment Impact Assessment (EIA) Notification 2006', 'Section 7.5.8 of Environment Impact Assessment (EIA) Notification 2006', 'Section 7.5.9 of Environment Impact Assessment (EIA) Notification 2006', 'Section 7.5.11 of Environment Impact Assessment (EIA) Notification 2006', 'Section 7.5.12 of Environment Impact Assessment (EIA) Notification 2006']","['National Building Code, 2016 (""NBC, 2016', 'NAAQS', 'NGT Act, 2010']","[AK Prafulla Samantara S/O Late Dinabandhu ... vs Union Of India Ministry Of Environment, NTPC Ltd. Prafulla Samantara S/O Late Dinabandhu ... vs Union Of India Ministry Of Environment, Prafulla Samantara S/O Late Dinabandhu ... vs Union Of India, T.B. Prafulla Samantara S/O Late Dinabandhu ... vs Union Of India Ministry Of Environment, Gau Raxa Hitaraxak book Manch and Gauchar Paryavaran Bachav Trust Vs.]"
President_Garden_City_Residential_vs_State_Of_Punjab_on_31_October_2023.PDF,"['s 33-A of Water (Prevention and Control of Pollution) Act,1974']","['National Green Tribunal Act, 2010']",[]
P_Sundaravathanam_vs_Union_Of_India_on_31_May_2022.PDF,"['Section 16 of National Green Tribunal Act, 2010', 'Category A of Environmental Impact Assessment Notification, 2006', ""category 'B' of IS 2296: 1992 of Surface Water Standards"", 'IS 2296: 1992 of Surface Water Standards', 'TPP - I of ZLD System', 'TPP - II of ZLD System', 'Section 3.10.2.5. of National Green Tribunal Act, 2010', 'Chapter 4 Section 4.3.1 12 of Construction and Demolition Management Waste Rules, 2016', 'Chapter - 4 of CPCB', 'Section 4.4 of CPCB', 'Chapter - 2 of CPCB', 'Chapter 2.6.2 of CPCB', 'Chapter - 9 of CPCB']","['National Green Tribunal Act, 2010']","[P.Sundaravathanam vs Union Of India on 31 May, 2022 Indian Kanoon, Union of India & Ors.13, Sarpanch, Grampanchayat Tiroda Vs.]"
P_V_Subramani_vs_The_State_Of_Tamil_Nadu_Represented_By_on_28_February_2022.PDF,"['Article 32 of Constitution', 'Section 33 A of Water (Prevention and Control of Pollution) Act, 1974', 'Section 33 of Water (Prevention and Control of Pollution) Act, 1974', 'section 33(A) of Water (P&CP) Act, 1974', 'section 33(A) of water (P&CP) Act 1974', 'Section 33 (A) of Water (Prevention and Control of Pollution) Act', 'section 33 (A) of Water (P & CP) Act, 1974', 'section 33 (A) of water (Prevention and Control of Pollution) Act 1974', 'Section 18(1) read with Sections 14 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act, 2010', 'Section 33 (A) of Water (Prevention and Control of Pollution) Act, 1974']","['National Green Tribunal Act, 2010']","[P. V.Subramani vs The State Of Tamil Nadu, Mormilagai units P. V.Subramani vs The State Of Tamil Nadu, 3rd & 4th Respondents Board P. V.Subramani vs The State Of Tamil Nadu, Secured P. V.Subramani vs The State Of Tamil Nadu, NABL P. V.Subramani vs The State Of Tamil Nadu, Vellore Citizen Forum Vs Union of India & Others, Mor Milagai P. V.Subramani vs The State Of Tamil Nadu]"
Riverside_Resorts_And_Holiday_Homes_Pvt_vs_Goa_State_Pollution_Control_Board_on_30_September_2021.PDF,"['Section 33(A) of Water (Prevention and Control of Pollution) Act, 1974']","['National Green Tribunal Act, 2010']",[Suo Motu Writ Petition No. 02 of 2007]
Sachin_Mohapatra_vs_Bhubaneswar_Development_Authority_on_12_June_2023.PDF,['section 15 of NGT Act'],"['National Green Tribunal Act, 2010']",[Sachin Mohapatra vs Bhubaneswar Development Authority]
Sadashiv_Mahadev_Morye_vs_Seiaa_on_28_February_2023.PDF,"['Section 5 of Environment (Protection) Act, 1986', 'Section 14 of National Green Tribunal Act, 2010', 'Section 16 of National Green Tribunal Act, 2010', 'Section 23(c) of Mines and Mineral (Development and Regulation) Act (MMDR Act)', 'Section 15(1) of NGT Act Sadashiv Mahadev Morye vs Seiaa']","['National Green Tribunal Act, 2010']","[Sadashiv Mahadev Morye vs Seiaa on 28 February, 2023 Indian Kanoon - http://indiankanoon.org/doc/134691469/ 5, Veterans Forum for Transparency in Public Life Vs]"
Samast_Bharuch_Jilla_Machimar_Samaj_vs_Gujarat_State_Environment_Impact_on_31_March_2022.PDF,"['Para 4(i) of CRZ Notification, 2011', 'Entry 1(c) of EIA Notification, 2006', 'Sub-para (ii) of Para 4 of CRZ Notification, 2011']","['National Green Tribunal Act, 2010']",[Samast Bharuch Jilla Machimar Samaj ... vs Gujarat State Environment Impact]
Santanu_Kumar_Bhukta_vs_State_Of_Odisha_on_28_February_2023.PDF,"['Section 19(a) of Environment (Protection) Act, 1986', 'Section 19(b) of Environment (Protection) Act, 1986', 'Section 19 of Environment (Protection) Act, 1986', 'Section 15 of Environment (Protection) Act, 1986', 'Section 16 of Environment (Protection) Act, 1986', 'Section 47 of Environment (Protection) Act, 1986', 'sub- section (1) of Environment (Protection) Act, 1986', 'Section 24 of Environment (Protection) Act, 1986', 'Section 26 of Environment (Protection) Act, 1986', 'Section 43 of Environment (Protection) Act, 1986', 'Section 44 of Environment (Protection) Act, 1986', 'rule 37 of Environment (Protection) Act, 1986', 'Rule 51 of OMMC, Rules 2016', 'Chapter-V of OMMC Rules, 2016', 'rule-51 of of OMMC Rules, 2016', 'rule-51 of OMMC Rules, 2016', 's 19 of Environment (Protection) Act, 1986', 'Section 19 of Forest (Conservation) Act, 1986', 'Section 21(5) of Mines and Minerals (Development and Regulation) Act, 1957', 'Rule 51 of Odisha Minor Mineral Concession Rules, 2016', 'Rule 51 of OMMC Rules, 2016', 'Clause (iii) of Sub-rule 51(1) of OMMC Rules, 2016', 'Clause (a) of Section 19 of Environment (Protection) Act, 1986', 'Appendix IX of EIA Notification of 2006', 'clause (e) of Section 3 of MMDR Act, 1957', 'Rule 70 of MCR, 1960', 'Section 51 of Odisha Minor Mineral Concession Rules, 2016', 'Appendix-IX of OMMC Rule, 2016', 'sub-rule (5) of OMMC Rules, 2016', 'Clause (i) of Sub-rule 51(1) of OMMC Rules, 2016', 'Clause (ii) of Sub-rule 51(1) of OMMC Rules, 2016', 'S.O. 1224(E) of EC', 'clause (iii) of sub-rule (1) of OMMC Rules, 2016']","['National Green Tribunal Act, 2010']","[Santanu Kumar Bhukta vs State Of Odisha on 28 February, 2023 Indian Kanoon - http://indiankanoon.org/doc/183072449/ 17 (iv), State Santanu Kumar Bhukta vs State Of Odisha]"
Sarangam_vs_The_District_Collector_11_Others_on_30_July_2021.PDF,"['Section 47(A1) of Stamp Act', 'S. No. 25 of Stamp Act']","['National Green Tribunal Act, 2010']",[Sarangam vs The District Collector & 11 Others]
Satendra_Pandey_vs_Moef_on_29_July_2022.PDF,"['Section 14 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act, 2010', 'Section 16 of National Green Tribunal Act, 2010', 'Section 17 of National Green Tribunal Act, 2010', 'Section 18(1) of NGT Act, 2010', 'Section 14 read with 15 of NGT Act, 2010']","['National Green Tribunal Act, 2010']","[Satendra Pandey vs Moef on 29 July, 2022 Indian Kanoon - http://indiankanoon.org/doc/15447276/ 1]"
Sayyed_Mohammed_Sabir_Usman_vs_Member_Secretary_Cpcb_on_31_March_2023.PDF,"['Section 304(A) of Indian Penal Code', 'Section 286 of Indian Penal Code', 'Section 337 of Indian Penal Code', 'Section 427 of Indian Penal Code', 'Section 304 A of Indian Penal Code', 'Section 283 of Indian Penal Code', 'Section 15 read with Section 20 of National Green Tribunal Act, 2010', 'RULE 08.1 of FACTORIES ACT- 1948', 'Section 2(cb) of Factories Act, 1948', 'Rule 4 (4) of Maharashtra Factories Rule, 1963', 'Rule 4 (1) (a) of Maharashtra Factories Rule, 1963', 'Rule 4 (1) (b) of Maharashtra Factories Rule, 1963', 'Rule 4 (1) (c) of Maharashtra Factories Rule, 1963', 'Section 7-A (2) (a) of Factories Act-1948.', 'Rule 65(6)(iii)(a) & (b) of Maharashtra Factories Rules, 1963', 'Rule 73-R of Maharashtra Factories Rules', 'Rule 73-R(1) of Maharashtra Factories Rules, 1963', 'section 143 of MR & TP Act', 'Schedule-1 of MSIHC Rules 1989', 'Part-I Schedule- 3 of MSIHC Rules, 1989', 'Sub-rule 1 of Rule 6 of MSIHC Rules, 1989', 'Entry 5(f) of EIA', 'Section 17 of National Green Tribunal Act, 2010', 'Clause-2(g) of Schedule-II of Factories Act, 1948', 'Section 4 of Maharashtra Factories Rule, 1963', 'Clause-1 of Schedule-II of Factories Act, 1948', 'Rules 7 to 15 of MSIHC Rules, 1989', 'Schedule I of National Green Tribunal Act, 2010', 'Schedule II of National Green Tribunal Act, 2010', 'Clause 11 of The First Schedule of Factories Act 1948', 'Rule 73-N(1) of Maharashtra Factories Rules', 'Rule 73-O. of Maharashtra Factories Rules', 'Schedule 4 of MSIHC Rules', 'Column 2 of Schedule 3 of MSIHC Rules, 1989', 'Column 3 of MSIHC Rules, 1989', 'Column 4 (Rules 10-12 of MSIHC Rules, 1989', 'Column 2 of Schedule 2 of MSIHC Rules, 1989', 'rule 10 of MSIHC Rules, 1989', 'Category 5 (f) of EIA', 'sub-para (a) to (e) of National Green Tribunal Act, 2010']","['Factories Act 1948', 'Noise Pollution Rules, 2000', 'National Green Tribunal Act, 2010']","[Sayyed Mohammed Sabir Usman vs Member Secretary-Cpcb on 31 March, 2023 Indian Kanoon, Occupier Sayyed Mohammed Sabir Usman vs Member Secretary-Cpcb, Chief Sayyed Mohammed Sabir Usman vs Member Secretary-Cpcb, National Insurance Company Ltd. v. Pranay Sethi, (2017), President v/s Yashashvi Rasayan Pvt. Ltd &Anr), Sarla Verma & Ors vs Delhi Transport Corp.& Anr, Amrit Bhanu Shali & Ors vs National Insurance Co. Ltd., National Insurance Co. Ltd vs Pranay Sethi, Sunita Tokas vs New Inda Insurance Co. Ltd., Akhil Bhartiya Mangela Samaj Parishad & Anr Vs MPCB & Ors, National Insurance Company Limited vs. Pranay Sethi and Ors]"
Sharvesh_Sharma_vs_State_Of_Madhya_Pradesh_on_23_December_2022.PDF,"['Stage-III of EIA Notification, 2006', 'Section 20 of National Green Tribunal Act, 2010']","['Noise Pollution Rules, 2000', 'National Green Tribunal Act, 2010']","[Ministry of Environment, Forest and Climate Change (MoEF&CC) Sharvesh Sharma vs State Of Madhya Pradesh, PU Sharvesh Sharma vs State Of Madhya Pradesh on 23 December, 2022 Indian Kanoon]"
Shashikant_Vithal_Kamble_vs_Union_Of_India_on_23_December_2022.PDF,"['Article 21 of Environmental Protection Act, 1986', 'SCC 264 of Environmental Protection Act, 1986', 'Article 21 of Constitution', 'Article 48A of Constitution', 'Article 21.Acknowledgment of Constitution', 'section 15 of NGT Act', 'section 20 of NGT Act', 'Section 20 of National Green Tribunal Act, 2010', 'section 23 of Environment (Protection) Act, 1986 (29 of 1986)', 'Section 3 read with Rule 5 of Environment (Protection) Act, 1986', 'Appendix-VI of EIA Notification, 2006', 'principle 15 to 17 of Paris Agreement, 2015', 'Section 20 of NGT Act', 'Section 15 of NGT Act', 'entry 32 of Schedule-I of Environment (Protection) Rules, 1986', 'sub-paras (g) and (h) of Environment (Protection) Rules, 1986']","['OMMC Rules, 2016', 'Environment  Rules, 1986', 'Paris Agreement, 2015', 'OMMC Rule, 2016', 'Noise Pollution  Rules, 2000', 'Environment  Act, 1986', 'Environmental Protection Act, 1986', 'EIA Notification, 2006']","[Shashikant Vithal Kamble vs Union Of India on 23 December, 2022 Indian Kanoon, Hindustan Times"" A.Q.F.M. Yamuna vs. Central Pollution Control Board & Anr, Union of India & Ors. - 2018 NGTR (1) PB 1, N.D. Jayal v. Union of India, (2004) 9 SCC 362]"
Shiv_Lal_Salvi_vs_Union_Of_India_Through_Secretary_on_28_April_2023.PDF,"['Section 15 of National Green Tribunal Act, 2010', 'Section 14 of National Green Tribunal Act, 2010', 'Section 15 of NGT Act, 2010', 'Rule 22(3)(h) of Mineral Concession Rule, 1960', 'Rule 72 of Mineral Concession Rule, 1960', 'Section 30 of Mines and Minerals (Development and Regulation) Act, 1997', 'Section 22-B of Legal Services Authority Act, 1987', 'Rule 27(1) (h) of Mineral Concession Rules, 1960', 'Rule 377 of Legal Services Authority Act, 1987', 'Section 106(2) of Metalliferous Mines Regulations, 1961', 'Condition No. 17 of Rajasthan Urban Improvement Act, 1959', 'Part - II (6) - Form of Legal Services Authority Act, 1987', 'Part -K of Legal Services Authority Act, 1987']","['Mineral Concession Rules, 1960', 'Mineral Concession Rule, 1960', 'Rajasthan Urban Improvement Act, 1959', 'Public Liability Insurance Act, 1991 ', 'NGT Act, 2010', 'National Green Tribunal Act, 2010', 'Metalliferous Mines Regulations, 1961']","[Shiv Lal Salvi vs Union Of India Through Secretary ... on 28 April, 2023 Indian Kanoon, CSIR - Central Institute of Mining and Fuel Research, Dhanbad, Rajasthan State Pollution Control Shiv Lal Salvi vs Union Of India]"
Shree_Nath_Sharma_vs_Union_Of_India_on_29_January_2021.PDF,"['Article 243 G of Solid Waste Management Rules, 2016', 'Article 243 W of Solid Waste Management Rules, 2016', 'Article 243 ZD of Solid Waste Management Rules, 2016']","['Solid Waste Management Rules, 2016']","[Shree Nath Sharma vs Union Of India on 29 January, 2021 Indian Kanoon]"
Siddesh_Salgaonkar_vs_Goa_Coastal_Zone_Management_Authority_on_30_September_2022.PDF,"['section 5 of Limitation Act, 1963', 'Order XLI of Civil Procedure Code', 'rule 11 of Code of Civil Procedure']","['Limitation Act, 1963', 'Code of Civil Procedure', 'Civil Procedure Code']","[npj Siddesh Salgaonkar vs Goa Coastal Zone Management Authority on 30 September, 2022 Indian Kanoon]"
Smriti_Tripathi_vs_The_District_Magistrate_on_31_May_2023.PDF,"['Rule 14 of National Green Tribunal (Practices and Procedures) Rules, 2011', 'OA 207 of National Green Tribunal (Practices and Procedures) Rules, 2011', 'OA 208/2023 of National Green Tribunal (Practices and Procedures) Rules, 2011']","['National Green Tribunal  Rules, 2011']","[Smriti Tripathi vs The District Magistrate on 31 May, 2023 Indian Kanoon - http://indiankanoon.org/doc/45719096/ 3]"
Sri_C_Murugan_Proprietor_vs_The_Member_Secretary_Karnataka_State_on_26_February_2021.PDF,"['Section 14 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act, 2010']",['SWM Rules'],[]
Sri_Rajesh_Kumar_Mandal_vs_Chief_Secretary_on_31_March_2022.PDF,"['Rule 166 (ii) of West Bengal Land & Land Reforms Manual, 1991']",['SWM Rules'],[Sri Rajesh Kumar Mandal vs Chief Secretary]
Sri_Reji_Kuriakose_S_O_Kuriakose_vs_State_Environemental_Impact_on_31_March_2022.PDF,"['Section 16 of National Green Tribunal Act, 2010', 'Section 18 of Wildlife (Protection) Act, 1972']","['BMW Rules, 2016', 'Wildlife  Act, 1972']","[Reji Kuriakose S/O Kuriakose vs State Environemental Impact, Kuriakose vs State Environemental Impact]"
Sunaina_vs_State_Of_Punjab_Through_Its_Chief_on_29_July_2022.PDF,"['Section 14 of National Green Tribunal Act, 2010', 'Section 15 of National Green Tribunal Act, 2010', 'Section 25 of NGT Act, 2010', 'Section 51 of CPC', 'Section 26 of NGT Act, 2010', 'Section 28 of NGT Act, 2010', 'Section 30 of NGT Act, 2010', 'Section 26 Section 28 of CPC']","['Solid Waste Management Rules, 2016']",[SN Sunaina vs State Of Punjab]
Sun_Planet_Welfare_Association_Through_vs_Sarang_Yadwadkar_on_31_May_2022.PDF,"['Article 21 of Constitution', 'Article 48A of Constitution', 'Article 51A(g) of Constitution', 'section 30 of NGT Act, 2010']","['Solid Waste Management Rules, 2016']",[]
Suo_Motu_vs_The_Principal_Secretary_on_31_January_2022.PDF,"['Article 48 A of Constitution', 'Article 226 of Constitution', 's. 16 of Tamil Nadu Forest Act, 1882', 's. 4 of Tamil Nadu Forest Act, 1882', 's 26 of TNFA 1882', 'Article 4 of Ramsar Convention', 'Article 3 of Ramsar Convention', 'Section 4 of Tamil Nadu Forest Act 1882', 'Section 4 of Tamil Nadu Forest Act, 1882', 'Section 16 of Tamil Nadu Forest Act 1882', 'Section 26 of Tamil Nadu Forest Act 1882', 'section 26 of Tamil Nadu Forest Act, 1882', 'section 5 of Environmental (Protection) Act, 1986', 'section 4 of Tamil Nadu Forest Act', 'Section 4 of Municipal ion 170.40. 0', 'Section 4 of 7 of TNF Act 1882', 'section 16 of Tamil Nadu Forest Act 1882', 'section IV) department 534/4 of TNF Act', 'section 534/4 of TNF Act', 'section 26 of Tamil Nadu Forest Act 1882', 'section 4 of Tamil Nadu Forest Act 1882', 'Section 47 A of TN Town and Country Planning Act, 1971', 'S. 47 A of TN Town and Country Planning Act, 1971', 'Rule 7 of Development Control Rules', 'Section 26 of 16 of TNF Act', 'Rule (2) (g) of Wetland (Conservation and Management) Rules, 2010', 'Section 26 of Tamil Nadu Forest Act, 1882', 'section 4 of Municipal ion 170.40. 0', 'Rule 7 (2) of Development Control Rules', 'Schedule III, Condition 5 of Municipal Solid Waste (Management & Handling) Rules, 2000', 'RSO 23A. of Tamil Nadu Societies Registration Act, 1975', 'Section 4 of TNF 657/3A2 of Pallikaranai Revenue Act 1882', 'Section 657/3A2 122.38.5 of Pallikaranai Revenue Act 1882', 'Section 16 433/2A of TNF Act', 'Section 433/2A to 2F 444/2 of TNF Act', 'Section 444/2 of TNF Act', 'Section 01.07.2013 657/1A of TNF Act', 'Section 657/1A of TNF Act', 'Section 47 of TNF Act']","['TNF Act 1882', 'Wetland  Rules, 2010', 'Municipal ion 170.40. 0', 'Municipal Solid Waste  Rules, 2000', 'Solid Waste Management Rules, Waste Management Rules, 2016', 'Tamil Nadu Forest Act', 'Solid Waste Management Rules, 2016', 'TN Town and Country Planning Act, 1971', 'Development Control Rules', 'Tamil Nadu Societies Registration Act, 1975']","[Suo Motu vs The Principal Secretary on 31 January, 2022 Indian Kanoon - http://indiankanoon.org/doc/57091127/ 71 i), drain Suo Motu vs The Principal Secretary on 31 January, 2022 Indian Kanoon, CPI(M) North Chennai District Committee Vs.]"
Swaminathan_Ramadoss_vs_District_Collector_on_30_June_2021.PDF,"['Section 218 of Tamil Nadu District Municipal Act, 1920', 'Section 313 of Tamil Nadu District Municipal Act, 1920', 'Section 339 of Tamil Nadu District Municipal Act, 1920', 'Section 340 of Tamil Nadu District Municipal Act, 1920', 'Section 344 of Tamil Nadu District Municipal Act, 1920', 'Section 216 (1) & (2) of Tamil Nadu District Municipal Act, 1920', 'Section 216 (3) of Tamil Nadu District Municipal Act, 1920', 'Section 56 of Tamil Nadu Town and Country Planning Act, 1971', 'Section 57 of Tamil Nadu Town and Country Planning Act, 1971', 'Section 85 r of Tamil Nadu District Municipal Act, 1920', 'Section Section 56 of Tamil Nadu District Municipal Act, 1920', 'Section 57 of Tamil Nadu District Municipal Act, 1920']",['Tamil Nadu Forest Act'],"[Westend Green Farms Society Vs., Swaminathan Ramadoss vs District Collector on 30 June, 2021 Indian Kanoon]"
S_Velu_vs_The_District_Collector_on_31_January_2023.PDF,"['Section 13(8) of Coastal Aquaculture Authority Act, 2005', 'Section 27 of Coastal Aquaculture Authority Act, 2005', 'Rule 22 of National Green Tribunal (Practice and Procedure) Rules, 2011', 'Rule 22(1) of National Green Tribunal (Practices and Procedure) Rules, 2011']","['Coastal Aquaculture Authority Act, 2005', 'National Green Tribunal  Rules, 2011', 'Tamil Nadu Town and Country Planning Act, 1971']","[S.Velu vs The District Collector on 31 January, 2023 Indian Kanoon - http://indiankanoon.org/doc/24418773/ 4]"
Tanaji_Ruikar_vs_Municipal_Corporation_Of_Kolhapur_on_30_November_2022.PDF,"['s 33A of Water (Prevention and Control of Pollution) Act, 1974', 'Section 26 of Water (Prevention and Control of Pollution) Act, 1974', 'Section 31(A) of Water (Prevention and Control of Pollution) Act, 1974']","['Water  Act, 1974']",[Tanaji Ruikar vs Municipal Corporation Of Kolhapur]
Tandur_Citizens_Welfare_Society_Rep_By_vs_Government_Of_Telangana_Rep_By_Its_on_26_February_2021.PDF,"['section 18(1)(b) of Water (Prevention & Control of Pollution) Act, 1974']","['TN Town and Country Planning Act, 1971']",[Tandur Citizens Welfare Society Rep. By ... vs Government Of Telangana Rep. By Its ... on]
The_Conservation_Action_Trust_vs_Union_Of_India_on_30_September_2022.PDF,"['Section 177 of Electricity Act, 2003', 'Section 2 of Forest (Conservation) Act, 1980', 'Annexure - 2 (C) of Forest (Conservation) Act, 1980', 'Annexure 2 (D) of Forest (Conservation) Act, 1980', 'Stage - II of EIA']","['Forest  Act, 1980', 'TN Town and Country Planning Act, 1971', 'EIA']","[Conservation Action Trust vs Union Of India on 30 September, 2022 Indian Kanoon]"
Udho_Prasad_Sharma_vs_Central_Pollution_Control_Board_on_29_July_2022.PDF,"['Article 243G of Constitution', 'Article 243W of Constitution', 'Article 243ZD of Constitution', 'Section 14,15,16,17 of National Green Tribunal Act, 2010', 'Section 18 (1) of National Green Tribunal Act, 2010', 'Article 243 G of Solid Waste Management Rules, 2016', 'Article 243 W of Solid Waste Management Rules, 2016', 'Article 243 ZD of Solid Waste Management Rules, 2016', 'Section-5 of Environment Protection Act, 1986', 'section 15 of EPA, 1986', 'Section 15 of Environmental Protection Act, (EPA)-1986 against', 'Schedule III of BMW Rules 2016', 'Rule 7 of BMW Rules, 2016', 'Rule 8 of BMW Rules, 2016', 'Rule 10 of BMW Rules, 2016', 'Section 15 of EPA, 1986', 'Rule-12(4) of Biomedical Waste Management Rules, 2016']","['Water  Act, 1974', 'National Green Tribunal Act, 2010', 'Water Act', 'Constitution', 'Solid Waste Management Rules, 2016', 'Environment Protection Act, 1986']","[Udho Prasad Sharma vs Central Pollution Control Board on 29 July, 2022 Indian Kanoon - http://indiankanoon.org/doc/149527658/ 15, District Udho Prasad Sharma vs Central Pollution Control Board]"
